Origin,Destination,Peak Time,Driving Duration (Minutes),Driving Distance (KM),Transit Duration (Minutes),Transit Distance (KM),Driving Duration Reverse (Minutes),Driving Distance Reverse (KM),Transit Duration Reverse (Minutes),Transit Distance Reverse (KM),Transit is Faster,Time Saved (Minutes),Transit Percentage Faster
King Saud University,Al Murooj,2025-01-22 08:00:00,11.983333333333333,7.708,14.666666666666666,8.018,13.033333333333331,9.445,17.966666666666665,8.174,False,-2.6833333333333336,-22.392211404728794
King Saud University,Al Murooj,2025-01-22 17:00:00,20.633333333333333,8.179,17.0,8.018,19.55,9.445,18.966666666666665,8.174,True,3.633333333333333,17.60904684975767
King Saud University,King Fahad District,2025-01-22 08:00:00,9.583333333333334,6.509,12.783333333333331,6.878,10.383333333333333,8.199,17.966666666666665,7.042,False,-3.1999999999999975,-33.39130434782606
King Saud University,King Fahad District,2025-01-22 17:00:00,17.733333333333334,6.509,15.116666666666667,6.878,15.966666666666669,8.199,18.966666666666665,7.042,True,2.616666666666667,14.755639097744364
King Saud University,King Fahad District 2,2025-01-22 08:00:00,9.15,5.497,11.0,5.821,10.75,7.839,10.966666666666669,5.977,False,-1.8499999999999996,-20.218579234972673
King Saud University,King Fahad District 2,2025-01-22 17:00:00,19.616666666666667,5.497,13.333333333333334,5.821,15.116666666666667,7.839,11.966666666666669,5.977,True,6.283333333333333,32.030586236193706
King Saud University,Al Wurud 2,2025-01-22 08:00:00,8.7,5.524,10.95,5.522,9.083333333333334,7.45,10.466666666666669,5.556,False,-2.25,-25.862068965517242
King Saud University,Al Wurud 2,2025-01-22 17:00:00,18.583333333333332,5.524,13.283333333333331,5.522,13.216666666666669,7.45,11.466666666666669,5.556,True,5.300000000000001,28.520179372197312
King Saud University,Al Urubah,2025-01-22 08:00:00,10.6,6.394,13.416666666666666,6.52,11.783333333333331,8.437,12.116666666666667,6.426,False,-2.8166666666666664,-26.572327044025158
King Saud University,Al Urubah,2025-01-22 17:00:00,21.45,6.394,15.75,6.52,14.4,8.437,13.116666666666667,6.426,True,5.699999999999999,26.573426573426573
King Saud University,Alinma Bank,2025-01-22 08:00:00,13.266666666666667,7.72,15.45,7.719,13.8,10.254,14.4,7.761,False,-2.183333333333332,-16.457286432160792
King Saud University,Alinma Bank,2025-01-22 17:00:00,24.083333333333332,7.72,17.783333333333335,7.719,21.933333333333337,10.427,15.4,7.761,True,6.299999999999997,26.159169550173
King Saud University,Bank Albilad,2025-01-22 08:00:00,14.5,8.689,20.366666666666667,8.788,16.766666666666666,13.562,19.2,8.739,False,-5.866666666666667,-40.459770114942536
King Saud University,Bank Albilad,2025-01-22 17:00:00,22.116666666666667,8.689,22.7,8.788,22.333333333333332,13.562,20.2,8.739,False,-0.5833333333333321,-2.6375282592313436
King Saud University,King Fahad Library,2025-01-22 08:00:00,16.0,9.446,17.666666666666668,9.33,15.4,11.091,17.7,9.323,False,-1.6666666666666679,-10.416666666666675
King Saud University,King Fahad Library,2025-01-22 17:00:00,24.116666666666667,9.446,20.0,9.33,23.25,13.602,18.7,9.323,True,4.116666666666667,17.069799585349
King Saud University,Ministry of Interior,2025-01-22 08:00:00,17.183333333333334,12.527,17.366666666666667,11.213,16.316666666666666,13.217,20.366666666666667,11.256,False,-0.18333333333333357,-1.0669253152279354
King Saud University,Ministry of Interior,2025-01-22 17:00:00,28.6,12.065,19.7,11.213,22.116666666666667,13.217,21.366666666666667,11.256,True,8.900000000000002,31.118881118881127
King Saud University,Al Muorabba,2025-01-22 08:00:00,20.05,13.688,17.366666666666667,12.554,17.016666666666666,13.38,22.433333333333337,12.578,True,2.6833333333333336,13.383208645054031
King Saud University,Al Muorabba,2025-01-22 17:00:00,30.816666666666663,13.688,19.7,12.554,22.916666666666668,13.38,23.433333333333337,12.578,True,11.116666666666664,36.073553272038936
King Saud University,Passport Department,2025-01-22 08:00:00,19.716666666666665,15.028,26.466666666666665,13.14,18.45,13.864,24.05,13.177,False,-6.75,-34.234995773457314
King Saud University,Passport Department,2025-01-22 17:00:00,36.46666666666667,14.488,28.8,13.14,22.05,13.864,25.05,13.177,True,7.666666666666668,21.023765996343695
King Saud University,National Museum,2025-01-22 08:00:00,21.016666666666666,15.472,29.483333333333334,15.079,22.466666666666665,16.249,27.066666666666663,15.126,False,-8.466666666666669,-40.285487708168134
King Saud University,National Museum,2025-01-22 17:00:00,38.13333333333333,15.222,31.816666666666663,15.079,26.0,16.249,28.066666666666663,15.126,True,6.31666666666667,16.564685314685324
King Saud University,Al Bat’ha,2025-01-22 08:00:00,21.333333333333332,16.406,31.3,16.045,23.783333333333335,17.15,29.05,16.074,False,-9.966666666666669,-46.71875000000001
King Saud University,Al Bat’ha,2025-01-22 17:00:00,42.65,15.968,33.63333333333333,16.045,25.7,17.15,30.05,16.074,True,9.016666666666666,21.1410707307542
King Saud University,Al Owd,2025-01-22 08:00:00,25.583333333333332,19.085,36.55,17.747,28.35,18.927,32.916666666666664,17.659,False,-10.966666666666665,-42.866449511400646
King Saud University,Al Owd,2025-01-22 17:00:00,50.583333333333336,18.648,38.88333333333333,17.747,30.333333333333332,18.927,33.916666666666664,17.659,True,11.700000000000003,23.130148270181223
King Saud University,Skirinah,2025-01-22 08:00:00,25.283333333333335,20.655,37.03333333333333,18.571,30.366666666666667,19.871,35.266666666666666,18.611,False,-11.749999999999996,-46.47330257086353
King Saud University,Skirinah,2025-01-22 17:00:00,48.68333333333333,20.218,39.36666666666667,18.571,30.6,19.347,36.266666666666666,18.611,True,9.316666666666663,19.13728175282437
